Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
39,GPU_2,1368,296,10,bad,addition,7e-06,1.8e-05,0.385
40,GPU_2,1378,954,3,bad,addition,7e-06,9.999999999999999e-06,0.7250000000000001
41,GPU_2,1382,992,3,good,addition,6.5000000000000004e-06,2.45e-05,0.28
42,GPU_2,1385,928,2,good,addition,6.5000000000000004e-06,1.45e-05,0.48
43,GPU_2,1387,979,3,bad,addition,7e-06,1.4000000000000001e-05,0.53
44,GPU_2,1404,1018,3,bad,addition,6.5000000000000004e-06,1.6000000000000003e-05,0.44499999999999995
45,GPU_2,1416,128,14,good,addition,7e-06,1.75e-05,0.46499999999999997
46,GPU_2,1434,848,4,bad,addition,7e-06,1.8e-05,0.38
47,GPU_2,1458,896,3,good,addition,7e-06,1.45e-05,0.52
48,GPU_2,1483,663,3,bad,addition,8e-06,1.1e-05,0.73
49,GPU_2,1498,210,9,bad,addition,7e-06,1.4000000000000001e-05,0.53
50,GPU_2,1502,246,14,bad,addition,7e-06,1.4000000000000001e-05,0.53
51,GPU_2,1510,480,6,good,addition,8e-06,1.0500000000000001e-05,0.755
52,GPU_2,1524,140,22,bad,addition,7e-06,1.35e-05,0.55
53,GPU_2,1531,832,2,good,addition,8e-06,1e-05,0.77
54,GPU_2,1567,990,3,bad,addition,7e-06,1.0500000000000001e-05,0.685
55,GPU_2,1572,224,8,good,addition,8e-06,1.0500000000000001e-05,0.775
56,GPU_2,1574,896,2,good,addition,7.499999999999999e-06,9.999999999999999e-06,0.76
57,GPU_2,1587,960,3,good,addition,7.499999999999999e-06,1.0500000000000001e-05,0.72
58,GPU_2,1596,864,3,good,addition,8e-06,1.45e-05,0.605
59,GPU_2,1602,512,5,good,addition,7e-06,1.45e-05,0.5449999999999999
60,GPU_2,1664,576,6,good,addition,7.499999999999999e-06,1.45e-05,0.56
61,GPU_2,1716,608,4,good,addition,7.499999999999999e-06,1.1e-05,0.69
62,GPU_2,1719,480,8,good,addition,8e-06,1.0500000000000001e-05,0.765
63,GPU_2,1754,672,5,good,addition,8e-06,1.1e-05,0.73
64,GPU_2,1818,917,2,bad,addition,8.5e-06,1.0500000000000001e-05,0.8
65,GPU_2,1820,1023,4,bad,addition,8e-06,1.2e-05,0.66
66,GPU_2,1826,864,4,good,addition,8.5e-06,1.55e-05,0.59
67,GPU_2,1841,128,17,good,addition,8.5e-06,1.35e-05,0.6699999999999999
68,GPU_2,1866,572,8,bad,addition,8e-06,1.5000000000000002e-05,0.585
69,GPU_2,1948,288,14,good,addition,9e-06,1.35e-05,0.7
70,GPU_2,2027,160,16,good,addition,9e-06,1.0500000000000001e-05,0.825
71,GPU_2,2091,820,3,bad,addition,9.5e-06,1e-05,0.9299999999999999
72,GPU_2,2150,352,7,good,addition,9e-06,1.8500000000000002e-05,0.495
73,GPU_2,2186,768,5,good,addition,9.5e-06,1.4000000000000001e-05,0.71
74,GPU_2,2242,830,3,bad,addition,1e-05,1.45e-05,0.745
75,GPU_2,2315,147,30,bad,addition,9.5e-06,1.15e-05,0.85
76,GPU_2,2340,448,8,good,addition,1.1e-05,1.5e-05,0.79
77,GPU_2,2351,256,17,good,addition,1.45e-05,1.35e-05,1.21
78,GPU_2,2368,224,17,good,addition,1e-05,1.1e-05,0.905
79,GPU_2,2455,736,6,good,addition,1e-05,1.0500000000000001e-05,0.98
80,GPU_2,2456,672,4,good,addition,1.0500000000000001e-05,1.1e-05,0.97
81,GPU_2,2463,448,7,good,addition,1e-05,9.5e-06,1.055
82,GPU_2,2543,335,10,bad,addition,1.1e-05,1.45e-05,0.835
83,GPU_2,2603,665,7,bad,addition,1.1e-05,9.5e-06,1.12
84,GPU_2,2623,992,3,good,addition,1.1e-05,1.35e-05,0.845
85,GPU_2,2643,545,10,bad,addition,1.1e-05,1.4000000000000001e-05,0.835
86,GPU_2,2653,754,4,bad,addition,1.15e-05,1.0500000000000001e-05,1.08
87,GPU_2,2671,935,5,bad,addition,1.15e-05,1.5000000000000002e-05,0.845
88,GPU_2,2713,386,14,bad,addition,1.15e-05,1e-05,1.135
89,GPU_2,2762,992,5,good,addition,1.2e-05,1.9e-05,0.635
90,GPU_2,2770,864,6,good,addition,1.15e-05,1.4000000000000001e-05,0.885
91,GPU_2,2772,992,6,good,addition,1.1e-05,1e-05,1.05
92,GPU_2,2775,160,22,good,addition,1.1e-05,1.4e-05,0.8049999999999999
93,GPU_2,2794,672,8,good,addition,1.15e-05,1.5e-05,0.8200000000000001
94,GPU_2,2836,192,16,good,addition,1.2e-05,1.0500000000000001e-05,1.12
95,GPU_2,2843,468,10,bad,addition,1.2e-05,1.55e-05,0.865
96,GPU_2,2862,128,25,good,addition,1.2e-05,1.35e-05,0.93
97,GPU_2,2923,416,9,good,addition,1.2e-05,1.3000000000000001e-05,1.0499999999999998
98,GPU_2,2955,896,8,good,addition,1.2e-05,1e-05,1.1549999999999998
99,GPU_2,3007,36,163,bad,addition,1.2e-05,1e-05,1.1749999999999998
100,GPU_2,3016,672,6,good,addition,1.2e-05,1.65e-05,0.71
101,GPU_2,3035,832,7,good,addition,1.3e-05,1.45e-05,1.035
102,GPU_2,3039,712,9,bad,addition,1.2e-05,9.999999999999999e-06,1.17
103,GPU_2,3100,960,7,good,addition,1.3e-05,1.8e-05,0.72
104,GPU_2,3115,32,129,good,addition,1.2499999999999999e-05,1e-05,1.21
105,GPU_2,3117,384,13,good,addition,1.2499999999999999e-05,1e-05,1.22
106,GPU_2,3153,221,20,bad,addition,1.2499999999999999e-05,1.5e-05,0.8700000000000001
107,GPU_2,3181,513,9,bad,addition,1.3e-05,1.45e-05,0.9450000000000001
108,GPU_2,3225,395,9,bad,addition,1.3e-05,1.45e-05,0.98
109,GPU_2,3256,645,12,bad,addition,1.35e-05,1.5e-05,0.975
110,GPU_2,3312,222,15,bad,addition,1.35e-05,1.0500000000000001e-05,1.29
111,GPU_2,3331,160,26,good,addition,1.35e-05,1.45e-05,0.995
112,GPU_2,3384,594,7,bad,addition,1.4e-05,1.4000000000000001e-05,1.065
113,GPU_2,3443,963,4,bad,addition,1.35e-05,1.4e-05,1.005
114,GPU_2,3454,389,16,bad,addition,1.4e-05,1e-05,1.37
115,GPU_2,3474,320,21,good,addition,1.35e-05,1e-05,1.32
116,GPU_2,3568,448,11,good,addition,1.4e-05,1e-05,1.355
117,GPU_2,3594,32,113,good,addition,1.45e-05,1.1e-05,1.345
118,GPU_2,3646,793,9,bad,addition,1.45e-05,1.4000000000000001e-05,1.13
119,GPU_2,3687,289,23,bad,addition,1.5e-05,1.95e-05,0.975
120,GPU_2,3833,480,16,good,addition,1.5e-05,1.9e-05,0.7949999999999999
121,GPU_2,3984,391,14,bad,addition,1.55e-05,1.0500000000000001e-05,1.46
122,GPU_2,4046,320,21,good,addition,1.6e-05,1e-05,1.5550000000000002
123,GPU_2,4051,790,11,bad,addition,1.55e-05,1.3000000000000001e-05,1.31
124,GPU_2,4082,722,6,bad,addition,1.55e-05,1e-05,1.525
125,GPU_2,4085,534,15,bad,addition,1.6e-05,1.55e-05,1.15
126,GPU_2,4087,885,5,bad,addition,1.65e-05,1.55e-05,1.21
127,GPU_2,4091,96,70,good,addition,1.6e-05,1e-05,1.5899999999999999
128,GPU_2,4141,160,34,good,addition,1.6e-05,1.0500000000000001e-05,1.48
129,GPU_2,4211,370,20,bad,addition,1.6e-05,1.45e-05,1.13
130,GPU_2,4261,228,31,bad,addition,1.7e-05,1.45e-05,1.205
131,GPU_2,4371,272,28,bad,addition,1.7e-05,1.0500000000000001e-05,1.5899999999999999
132,GPU_2,4395,1012,8,bad,addition,1.7e-05,1.45e-05,1.275
133,GPU_2,4437,512,9,good,addition,1.7e-05,1.35e-05,1.325
134,GPU_2,4442,220,21,bad,addition,1.7e-05,1e-05,1.6549999999999998
135,GPU_2,4452,80,99,bad,addition,1.7e-05,1.1e-05,1.6
136,GPU_2,4503,894,6,bad,addition,1.8e-05,1.2499999999999999e-05,1.45
137,GPU_2,4508,758,10,bad,addition,1.7e-05,1.75e-05,0.95
138,GPU_2,4509,801,8,bad,addition,1.7e-05,1e-05,1.665
139,GPU_2,4523,242,22,bad,addition,1.75e-05,1.0500000000000001e-05,1.625
140,GPU_2,4613,736,11,good,addition,1.75e-05,1.45e-05,1.28
141,GPU_2,4728,94,94,bad,addition,1.8e-05,1.45e-05,1.335
142,GPU_2,4789,248,25,bad,addition,1.8500000000000002e-05,1.4000000000000001e-05,1.4300000000000002
143,GPU_2,4859,627,12,bad,addition,1.8500000000000002e-05,1.45e-05,1.33
144,GPU_2,4861,206,37,bad,addition,1.8e-05,1.6000000000000003e-05,1.225
145,GPU_2,4921,384,17,good,addition,1.8e-05,1.1e-05,1.625
146,GPU_2,4942,141,49,bad,addition,1.9e-05,1.0500000000000001e-05,1.81
147,GPU_2,5061,192,33,good,addition,1.9e-05,1.0500000000000001e-05,1.8
148,GPU_2,5080,704,11,good,addition,1.9e-05,1.45e-05,1.44
149,GPU_2,5109,120,71,bad,addition,1.95e-05,1.0500000000000001e-05,1.855
150,GPU_2,5174,416,22,good,addition,1.95e-05,1.45e-05,1.38
151,GPU_2,5184,469,15,bad,addition,1.95e-05,9.5e-06,2.0
152,GPU_2,5264,704,12,good,addition,1.95e-05,1e-05,1.895
153,GPU_2,5289,384,19,good,addition,2e-05,1e-05,1.975
154,GPU_2,5314,700,15,bad,addition,2e-05,1.6000000000000003e-05,1.33
155,GPU_2,5422,416,19,good,addition,2.05e-05,1.1e-05,1.885
156,GPU_2,5424,320,18,good,addition,2.05e-05,1.4000000000000001e-05,1.565
157,GPU_2,5480,158,54,bad,addition,2.05e-05,9.5e-06,2.175
158,GPU_2,5505,128,52,good,addition,2.1e-05,1.5000000000000002e-05,1.54
159,GPU_2,5536,64,100,good,addition,2.1e-05,1.0500000000000001e-05,1.9749999999999999
160,GPU_2,5650,502,13,bad,addition,2.1e-05,1.1e-05,1.9249999999999998
161,GPU_2,5676,226,44,bad,addition,2.1e-05,1.5000000000000002e-05,1.56
162,GPU_2,5716,409,27,bad,addition,2.15e-05,1e-05,2.1500000000000004
163,GPU_2,5961,672,14,good,addition,2.2e-05,1.0500000000000001e-05,2.1849999999999996
164,GPU_2,6002,448,19,good,addition,2.2e-05,9.999999999999999e-06,2.13
165,GPU_2,6094,640,14,good,addition,2.2499999999999998e-05,1.4000000000000001e-05,1.72
166,GPU_2,6221,757,18,bad,addition,2.3500000000000002e-05,1.1e-05,2.135
167,GPU_2,6341,384,28,good,addition,2.3e-05,1e-05,2.27
168,GPU_2,6438,960,13,good,addition,2.4e-05,1.45e-05,1.795
169,GPU_2,6492,947,11,bad,addition,2.3500000000000002e-05,1.0500000000000001e-05,2.23
170,GPU_2,6699,96,138,good,addition,2.5e-05,1.8500000000000002e-05,1.3250000000000002
171,GPU_2,6729,525,23,bad,addition,2.5e-05,1e-05,2.505
172,GPU_2,6739,32,312,good,addition,2.45e-05,1.1e-05,2.2350000000000003
173,GPU_2,7005,333,27,bad,addition,2.6e-05,9.5e-06,2.7649999999999997
174,GPU_2,7082,672,16,good,addition,2.6e-05,9.5e-06,2.67
175,GPU_2,7157,576,13,good,addition,2.6e-05,1.45e-05,1.905
176,GPU_2,7485,864,17,good,addition,2.7e-05,1e-05,2.64
177,GPU_2,7521,702,18,bad,addition,2.7499999999999998e-05,1.45e-05,2.065
178,GPU_2,7550,522,27,bad,addition,2.8e-05,1.35e-05,2.165
179,GPU_2,7590,817,12,bad,addition,2.8e-05,1.45e-05,2.095
180,GPU_2,7618,502,16,bad,addition,2.8e-05,1.8e-05,1.525
181,GPU_2,7624,352,32,good,addition,2.8e-05,1.1e-05,2.5300000000000002
182,GPU_2,7639,569,23,bad,addition,2.7499999999999998e-05,1.45e-05,1.9900000000000002
183,GPU_2,7689,477,29,bad,addition,2.7499999999999998e-05,1e-05,2.68
184,GPU_2,7776,544,19,good,addition,2.8e-05,1.4000000000000001e-05,2.15
185,GPU_2,7811,928,15,good,addition,2.85e-05,1.45e-05,2.06
186,GPU_2,7844,973,10,bad,addition,2.85e-05,1e-05,2.755
187,GPU_2,7996,433,19,bad,addition,2.9e-05,1.0500000000000001e-05,2.76
188,GPU_2,8002,912,14,bad,addition,2.9e-05,9.999999999999999e-06,2.91
189,GPU_2,8106,133,80,bad,addition,2.9e-05,1.45e-05,2.1950000000000003
190,GPU_2,8111,449,22,bad,addition,2.9e-05,1.1e-05,2.6950000000000003
191,GPU_2,8243,765,14,bad,addition,3.0500000000000003e-05,1.45e-05,2.29
192,GPU_2,8369,928,14,good,addition,3.2e-05,1e-05,3.13
193,GPU_2,8431,704,20,good,addition,3.0500000000000003e-05,1.45e-05,2.215
194,GPU_2,8572,153,76,bad,addition,3.1e-05,1.0500000000000001e-05,2.9749999999999996
195,GPU_2,8635,641,14,bad,addition,3.1e-05,1.5e-05,2.265
196,GPU_2,8721,640,19,good,addition,3.2e-05,1.4000000000000001e-05,2.41
197,GPU_2,8766,576,30,good,addition,3.2e-05,1.45e-05,2.405
198,GPU_2,8983,224,59,good,addition,3.2e-05,1.1e-05,2.875
199,GPU_2,9173,941,16,bad,addition,3.3e-05,1.1e-05,2.915
200,GPU_2,9207,934,10,bad,addition,3.3e-05,1.45e-05,2.38
201,GPU_2,9209,257,43,bad,addition,3.3e-05,1.4000000000000001e-05,2.54
202,GPU_2,9262,352,50,good,addition,3.3e-05,1.4000000000000001e-05,2.645
203,GPU_2,9263,183,55,bad,addition,3.3e-05,1.55e-05,2.285
204,GPU_2,9289,128,128,good,addition,3.3e-05,1e-05,3.185
205,GPU_2,9323,245,65,bad,addition,3.35e-05,1e-05,3.2800000000000002
206,GPU_2,9438,617,31,bad,addition,3.6e-05,1.55e-05,2.545
207,GPU_2,10112,815,18,bad,addition,3.6e-05,1.8e-05,2.005
208,GPU_2,10210,246,84,bad,addition,3.6e-05,1.8e-05,1.96
209,GPU_2,10216,896,16,good,addition,3.6e-05,1.0500000000000001e-05,3.435
210,GPU_2,10265,896,17,good,addition,3.65e-05,1.0500000000000001e-05,3.4
211,GPU_2,10284,256,50,good,addition,3.7e-05,1.4000000000000001e-05,2.825
212,GPU_2,10312,55,306,bad,addition,3.7e-05,1.5e-05,2.5949999999999998
213,GPU_2,10355,672,25,good,addition,3.7e-05,1e-05,3.58
214,GPU_2,10399,288,39,good,addition,3.7500000000000003e-05,1.4000000000000001e-05,2.85
215,GPU_2,10436,992,19,good,addition,3.7e-05,1.6000000000000003e-05,2.4850000000000003
216,GPU_2,10605,548,31,bad,addition,3.8e-05,1.0500000000000001e-05,3.66
217,GPU_2,10741,517,24,bad,addition,3.8e-05,1.85e-05,2.57
218,GPU_2,10752,339,46,bad,addition,3.7500000000000003e-05,1.5e-05,2.615
219,GPU_2,10844,1024,14,good,addition,3.85e-05,1.8e-05,2.13
220,GPU_2,10945,576,25,good,addition,3.85e-05,1.6000000000000003e-05,2.605
221,GPU_2,10960,800,17,good,addition,3.9e-05,1.5e-05,2.755
222,GPU_2,10997,960,23,good,addition,3.9e-05,1.45e-05,2.8600000000000003
223,GPU_2,11019,675,22,bad,addition,3.95e-05,1.6000000000000003e-05,2.675
224,GPU_2,11091,920,16,bad,addition,3.9e-05,1.0500000000000001e-05,3.7
225,GPU_2,11164,928,14,good,addition,4e-05,1.5e-05,2.835
226,GPU_2,11285,896,17,good,addition,4e-05,1.1e-05,3.59
227,GPU_2,11338,91,138,bad,addition,4e-05,9.999999999999999e-06,4.0
228,GPU_2,11377,768,28,good,addition,4e-05,1.8500000000000002e-05,2.11
229,GPU_2,11409,573,31,bad,addition,4e-05,1.1e-05,3.665
230,GPU_2,11512,516,30,bad,addition,4.1e-05,1.4000000000000001e-05,3.205
231,GPU_2,11561,736,18,good,addition,4.15e-05,1.15e-05,3.755
232,GPU_2,11840,990,12,bad,addition,4.2e-05,1.3000000000000001e-05,3.325
233,GPU_2,12046,800,26,good,addition,4.25e-05,1.4000000000000001e-05,3.2
234,GPU_2,12068,162,149,bad,addition,4.3e-05,1.1e-05,3.9450000000000003
235,GPU_2,12374,424,54,bad,addition,4.35e-05,1.45e-05,3.3049999999999997
236,GPU_2,12452,320,41,good,addition,4.45e-05,1.45e-05,3.175
237,GPU_2,12454,187,85,bad,addition,4.4e-05,1.0500000000000001e-05,4.135
238,GPU_2,12564,800,24,good,addition,4.45e-05,1e-05,4.335
239,GPU_2,12696,66,218,bad,addition,4.5e-05,1e-05,4.465
240,GPU_2,12924,960,23,good,addition,4.55e-05,1.1e-05,4.2
241,GPU_2,13082,128,149,good,addition,4.6e-05,1.15e-05,4.07
242,GPU_2,13317,768,32,good,addition,4.7e-05,1.8e-05,2.6100000000000003
243,GPU_2,13634,640,24,good,addition,4.7e-05,1e-05,4.675
244,GPU_2,13864,768,21,good,addition,4.9e-05,1.5000000000000002e-05,3.575
245,GPU_2,13875,640,33,good,addition,4.85e-05,1e-05,4.74
246,GPU_2,14060,704,23,good,addition,4.9e-05,1.5000000000000002e-05,3.66
247,GPU_2,14343,288,99,good,addition,5e-05,1.35e-05,3.915
248,GPU_2,14668,45,365,bad,addition,5.15e-05,1.1e-05,4.495
249,GPU_2,14688,75,287,bad,addition,5.15e-05,1.35e-05,3.99
250,GPU_2,14716,618,38,bad,addition,5.15e-05,1.1e-05,4.63
251,GPU_2,14728,215,91,bad,addition,5.1e-05,1.1e-05,4.495
252,GPU_2,14856,541,35,bad,addition,5.15e-05,1.4000000000000001e-05,3.9850000000000003
253,GPU_2,14894,832,20,good,addition,5.2e-05,1e-05,5.05
254,GPU_2,14937,123,213,bad,addition,5.25e-05,1.1e-05,4.785
255,GPU_2,15096,1024,15,good,addition,5.25e-05,1.45e-05,3.8549999999999995
256,GPU_2,15183,512,60,good,addition,5.3e-05,1.4000000000000001e-05,4.09
257,GPU_2,15284,779,39,bad,addition,5.35e-05,1e-05,5.21
258,GPU_2,15424,779,25,bad,addition,5.4e-05,9.999999999999999e-06,5.495
259,GPU_2,15466,981,19,bad,addition,5.4499999999999997e-05,1.0500000000000001e-05,5.23
260,GPU_2,15476,96,257,good,addition,5.4e-05,1.4000000000000001e-05,4.105
261,GPU_2,15560,157,153,bad,addition,5.4499999999999997e-05,1.15e-05,4.83
262,GPU_2,15790,985,31,bad,addition,5.4499999999999997e-05,1e-05,5.41
263,GPU_2,16108,736,24,good,addition,5.85e-05,1.45e-05,4.245
264,GPU_2,16185,429,71,bad,addition,5.7e-05,1e-05,5.605
265,GPU_2,16227,431,49,bad,addition,5.6500000000000005e-05,1.75e-05,3.1950000000000003
266,GPU_2,16599,118,218,bad,addition,5.75e-05,1.4000000000000001e-05,4.38
267,GPU_2,16845,576,36,good,addition,6.4e-05,1.0500000000000001e-05,6.215
268,GPU_2,17265,953,26,bad,addition,5.9499999999999996e-05,1e-05,5.695
269,GPU_2,17318,426,41,bad,addition,6e-05,1.5e-05,4.17
270,GPU_2,17410,864,35,good,addition,6.05e-05,1.0500000000000001e-05,5.745
271,GPU_2,17435,192,141,good,addition,6.1e-05,1.0500000000000001e-05,5.595000000000001
272,GPU_2,17562,416,53,good,addition,6.1e-05,9.999999999999999e-06,6.18
273,GPU_2,17782,544,49,good,addition,6.2e-05,1.4e-05,4.785
274,GPU_2,17814,938,21,bad,addition,6.15e-05,1.8500000000000002e-05,3.385
275,GPU_2,17846,517,47,bad,addition,6.2e-05,1.45e-05,4.585
276,GPU_2,18143,971,24,bad,addition,6.3e-05,1.35e-05,5.255
277,GPU_2,18174,608,60,good,addition,6.3e-05,1.45e-05,4.705
278,GPU_2,18440,480,45,good,addition,6.35e-05,1.8500000000000002e-05,3.535
279,GPU_2,18496,172,202,bad,addition,6.45e-05,1.35e-05,5.26
280,GPU_2,18865,928,26,good,addition,6.549999999999999e-05,1.4e-05,4.705
281,GPU_2,18972,160,176,good,addition,6.5e-05,1.0500000000000001e-05,6.05
282,GPU_2,19085,108,249,bad,addition,6.7e-05,1.3000000000000001e-05,5.5
283,GPU_2,19388,1024,19,good,addition,6.75e-05,1.1e-05,6.18
284,GPU_2,19390,178,174,bad,addition,6.8e-05,1.0500000000000001e-05,6.41
285,GPU_2,19468,438,55,bad,addition,6.7e-05,1.5e-05,4.73
286,GPU_2,19774,672,37,good,addition,6.95e-05,1.4000000000000001e-05,5.29
287,GPU_2,19851,288,74,good,addition,6.85e-05,1.5e-05,4.815
288,GPU_2,20082,590,46,bad,addition,6.95e-05,1.4e-05,5.335
289,GPU_2,20218,399,65,bad,addition,7e-05,1.8500000000000002e-05,3.77
290,GPU_2,20347,916,32,bad,addition,7.05e-05,1e-05,6.91
291,GPU_2,20913,474,81,bad,addition,7.2e-05,9.5e-06,7.52
292,GPU_2,21096,480,56,good,addition,7.3e-05,1.35e-05,5.72
293,GPU_2,21555,1004,27,bad,addition,7.4e-05,1.0500000000000001e-05,7.11
294,GPU_2,21749,647,66,bad,addition,7.5e-05,1.8500000000000002e-05,4.04
295,GPU_2,21859,992,28,good,addition,7.5e-05,1.45e-05,5.49
296,GPU_2,21916,736,31,good,addition,7.5e-05,1.35e-05,5.84
297,GPU_2,22628,298,147,bad,addition,7.8e-05,1.4000000000000001e-05,5.970000000000001
298,GPU_2,22893,320,108,good,addition,8e-05,1.4000000000000001e-05,6.09
299,GPU_2,23116,800,30,good,addition,8e-05,1e-05,7.949999999999999
300,GPU_2,24179,483,99,bad,addition,8.3e-05,1.8500000000000002e-05,4.475
301,GPU_2,24280,736,52,good,addition,8.35e-05,1.0500000000000001e-05,8.155
302,GPU_2,24284,267,168,bad,addition,8.4e-05,9.999999999999999e-06,8.515
303,GPU_2,24838,992,46,good,addition,8.5e-05,1.1e-05,7.84
304,GPU_2,25078,591,78,bad,addition,8.6e-05,1.35e-05,7.300000000000001
305,GPU_2,25152,64,657,good,addition,8.7e-05,1.45e-05,6.654999999999999
306,GPU_2,25453,992,50,good,addition,8.7e-05,1.4e-05,6.52
307,GPU_2,25478,736,37,good,addition,8.8e-05,1.35e-05,6.8
308,GPU_2,26246,64,671,good,addition,9e-05,1.1e-05,8.23
309,GPU_2,26328,586,54,bad,addition,9.05e-05,1.4000000000000001e-05,7.01
310,GPU_2,26480,568,55,bad,addition,9.2e-05,1.9e-05,4.865
311,GPU_2,26787,911,38,bad,addition,9.2e-05,1.15e-05,8.175
312,GPU_2,26789,459,87,bad,addition,9.1e-05,1.35e-05,7.16
313,GPU_2,27162,475,111,bad,addition,9.3e-05,1.5000000000000002e-05,6.785
314,GPU_2,27686,670,84,bad,addition,9.449999999999999e-05,9.999999999999999e-06,9.655000000000001
315,GPU_2,28518,832,58,good,addition,9.8e-05,1e-05,9.455
316,GPU_2,28765,701,81,bad,addition,9.8e-05,1.45e-05,7.334999999999999
317,GPU_2,28773,480,80,good,addition,0.000102,1.4000000000000001e-05,7.66
318,GPU_2,29793,224,196,good,addition,0.000102,1.8e-05,5.6
319,GPU_2,30192,96,391,good,addition,0.000104,1.4000000000000001e-05,7.9
320,GPU_2,30717,160,357,good,addition,0.000105,1.8500000000000002e-05,5.6
321,GPU_2,30802,672,56,good,addition,0.00010850000000000001,1.0500000000000001e-05,10.07
322,GPU_2,30936,751,47,bad,addition,0.0001055,9.999999999999999e-06,10.77
323,GPU_2,31142,323,125,bad,addition,0.0001065,1.4000000000000001e-05,8.08
324,GPU_2,32114,246,224,bad,addition,0.00011300000000000001,1.45e-05,8.254999999999999
325,GPU_2,32361,888,68,bad,addition,0.0001135,1.5e-05,8.08
326,GPU_2,33091,416,119,good,addition,0.000113,1.3000000000000001e-05,8.815
327,GPU_2,34412,32,1843,good,addition,0.0001175,1.8500000000000002e-05,6.265000000000001
328,GPU_2,35111,465,83,bad,addition,0.0001205,1.1e-05,10.98
329,GPU_2,35214,655,64,bad,addition,0.0001195,1.4000000000000001e-05,9.165
330,GPU_2,35366,832,62,good,addition,0.000121,1.5e-05,8.54
331,GPU_2,36202,279,206,bad,addition,0.00012350000000000002,1.5e-05,8.559999999999999
332,GPU_2,36271,736,54,good,addition,0.000123,1.4e-05,9.05
333,GPU_2,36279,845,51,bad,addition,0.00012800000000000002,1.45e-05,9.48
334,GPU_2,36487,64,910,good,addition,0.000124,1.8500000000000002e-05,6.805
335,GPU_2,36681,896,58,good,addition,0.000124,1.0500000000000001e-05,11.535
336,GPU_2,36687,736,93,good,addition,0.000124,9.999999999999999e-06,12.745000000000001
337,GPU_2,38183,64,657,good,addition,0.000136,1.9e-05,7.195
338,GPU_2,39444,512,97,good,addition,0.000135,1.0500000000000001e-05,12.530000000000001
339,GPU_2,39626,896,75,good,addition,0.0001365,1.5e-05,9.765
340,GPU_2,40031,960,69,good,addition,0.000136,1.0500000000000001e-05,12.89
341,GPU_2,40134,351,195,bad,addition,0.000137,1.35e-05,11.545
342,GPU_2,40186,384,122,good,addition,0.000136,1.15e-05,11.88
343,GPU_2,40424,704,107,good,addition,0.000137,1.4e-05,10.385000000000002
344,GPU_2,40660,256,266,good,addition,0.00013749999999999998,1.0500000000000001e-05,12.969999999999999
345,GPU_2,40766,128,451,good,addition,0.0001385,1.45e-05,10.440000000000001
346,GPU_2,42497,800,108,good,addition,0.000145,1.1e-05,13.285
347,GPU_2,42810,181,390,bad,addition,0.000147,1.6000000000000003e-05,9.935
348,GPU_2,43602,768,67,good,addition,0.000148,1.0500000000000001e-05,14.059999999999999
349,GPU_2,44210,512,96,good,addition,0.00015,1.2e-05,12.52
350,GPU_2,44793,728,102,bad,addition,0.000152,1.6000000000000003e-05,10.055
351,GPU_2,45318,408,116,bad,addition,0.0001535,1.5e-05,10.65
352,GPU_2,46347,32,1645,good,addition,0.000157,1.15e-05,13.565
353,GPU_2,47043,320,225,good,addition,0.0001585,1.5e-05,10.985
354,GPU_2,47320,896,78,good,addition,0.0001605,1.45e-05,12.055
355,GPU_2,47583,366,198,bad,addition,0.000161,1.4000000000000001e-05,12.39
356,GPU_2,47941,913,99,bad,addition,0.0001625,1.35e-05,12.535
357,GPU_2,48148,480,175,good,addition,0.00016350000000000002,1.45e-05,12.15
358,GPU_2,49543,320,310,good,addition,0.000168,1.55e-05,11.75
359,GPU_2,49952,576,123,good,addition,0.000169,1.15e-05,15.085
360,GPU_2,51003,96,996,good,addition,0.00017549999999999998,1.4000000000000001e-05,13.075
361,GPU_2,51050,832,84,good,addition,0.00017250000000000002,1.8e-05,9.56
362,GPU_2,51107,845,100,bad,addition,0.0001735,1.9999999999999998e-05,11.205
363,GPU_2,54679,295,351,bad,addition,0.000185,1.7e-05,10.815
364,GPU_2,55858,988,102,bad,addition,0.00018899999999999999,1.45e-05,13.695
365,GPU_2,56349,983,107,bad,addition,0.0001915,1.4000000000000001e-05,14.59
366,GPU_2,56814,74,1124,bad,addition,0.0001915,1.45e-05,14.3
367,GPU_2,57628,832,106,good,addition,0.000195,1.0500000000000001e-05,18.285
368,GPU_2,57757,96,967,good,addition,0.00019549999999999998,1e-05,18.740000000000002
369,GPU_2,58366,185,320,bad,addition,0.00019749999999999998,1.5e-05,14.514999999999999
370,GPU_2,60370,64,1398,good,addition,0.000205,1.2e-05,17.13
371,GPU_2,60392,98,1093,bad,addition,0.000205,1.1e-05,18.25
372,GPU_2,61486,768,157,good,addition,0.00020899999999999998,1.15e-05,18.54
373,GPU_2,64318,922,104,bad,addition,0.000217,1.75e-05,12.370000000000001
374,GPU_2,65949,120,553,bad,addition,0.0002225,1.5e-05,15.495000000000001
375,GPU_2,66654,320,263,good,addition,0.0002255,1.1e-05,20.73
376,GPU_2,66847,1024,67,good,addition,0.000226,1.1e-05,20.58
377,GPU_2,66885,64,1297,good,addition,0.000225,1.5e-05,16.02
